BillId,ClientId,Cost,Bpercent,Bpay,type
70,70,90,0.25,22.50,c
71,71,95,0.25,23.75,c
72,72,95,0.25,23.75,c
73,73,100,0.25,25.00,c
74,74,120,0.25,30.00,c
75,75,100,0.25,25.00,c
76,76,95,0.25,23.75,c
77,77,250,0.25,62.50,c
78,78,450,0.25,112.50,c
79,79,200,0.25,50.00,c
80,80,150,0.25,37.50,c
81,81,175,0.25,43.75,c
82,82,125,0.25,31.25,c
83,83,120,0.25,30.00,c
84,84,90,0.25,22.50,c
85,85,75,0.25,18.75,c
86,86,120,0.25,30.00,c
87,87,150,0.25,37.50,c
88,88,35,0.30,10.50,l
89,89,50,0.30,15.00,l
90,90,50,0.30,15.00,l
91,91,75,0.30,22.50,l
92,92,40,0.30,12.00,l
93,93,50,0.30,15.00,l
94,94,50,0.30,15.00,l
95,95,50,0.30,15.00,l
96,96,40,0.30,12.00,l
97,97,50,0.30,15.00,l
98,98,35,0.30,10.50,l
99,99,40,0.30,12.00,l
100,100,60,0.30,18.00,l
101,101,50,0.30,15.00,l
102,102,50,0.30,15.00,l
103,103,50,0.30,15.00,l
104,104,50,0.30,15.00,l
105,105,50,0.30,15.00,l
106,106,50,0.30,15.00,l
107,107,60,0.30,18.00,l
108,108,50,0.30,15.00,l
109,109,150,0.30,45.00,l
110,110,60,0.30,18.00,l
111,111,50,0.30,15.00,l
112,112,45,0.30,13.50,l
113,113,75,0.30,22.50,l
114,114,60,0.30,18.00,l
115,115,65,0.30,19.50,l
116,116,60,0.30,18.00,l
117,117,50,0.30,15.00,l
118,118,50,0.30,15.00,l
119,119,125,0.30,37.50,l
120,120,25,0.30,7.50,l
121,121,75,0.30,22.50,l
122,122,75,0.30,22.50,l
123,123,75,0.30,22.50,l
124,124,50,0.30,15.00,l
125,125,25,0.30,7.50,l
126,126,50,0.30,15.00,l
127,127,75,0.30,22.50,l
128,128,40,0.30,12.00,l
129,129,125,0.30,37.50,l
130,130,70,0.30,21.00,l
131,131,50,0.30,15.00,l
132,132,60,0.30,18.00,l
133,133,75,0.30,22.50,l
134,134,60,0.30,18.00,l
135,135,50,0.30,15.00,l
136,136,50,0.30,15.00,l
137,137,60,0.30,18.00,l
138,138,60,0.30,18.00,l
139,139,60,0.30,18.00,l
140,140,75,0.30,22.50,l
141,141,60,0.30,18.00,l
142,142,75,0.30,22.50,l
143,143,85,0.30,25.50,l
144,144,50,0.30,15.00,l
145,145,60,0.30,18.00,l
146,146,130,0.30,39.00,l
147,147,50,0.30,15.00,l
148,148,45,0.30,13.50,l
149,149,60,0.30,18.00,l
150,150,75,0.30,22.50,l
151,151,50,0.30,15.00,l
152,152,75,0.30,22.50,l
153,153,40,0.30,12.00,l
154,154,100,0.30,30.00,l
155,155,50,0.30,15.00,l
156,156,60,0.30,18.00,l
157,157,60,0.30,18.00,l
158,158,60,0.30,18.00,l
159,159,60,0.30,18.00,l
160,160,60,0.30,18.00,l
161,161,85,0.30,25.50,l
162,162,60,0.30,18.00,l
163,163,50,0.30,15.00,l
164,164,60,0.30,18.00,l
165,165,50,0.30,15.00,l
166,166,25,0.30,7.50,l
167,167,60,0.30,18.00,l
168,168,75,0.30,22.50,l
169,169,50,0.30,15.00,l
170,170,30,0.30,9.00,l
171,171,60,0.30,18.00,l
172,172,60,0.30,18.00,l
173,173,25,0.30,7.50,l
174,174,50,0.30,15.00,l
